"club_name","mostvalue"
"Angers SCO",78975000
"AS Monaco",336700000
"AS Saint-Étienne",100400000
"Clermont Foot 63",41845000
"ESTAC Troyes",62775000
"FC Girondins de Bordeaux",105425000
"FC Lorient",49400000
"FC Metz",91350000
"FC Nantes",80650000
"LOSC Lille",302425000
"Montpellier Hérault SC",108500000
"OGC Nice",235125000
"Olympique de Marseille",269325000
"Olympique Lyonnais",338575000
"Paris Saint-Germain",1081900000
"Racing Club de Lens",103775000
"RC Strasbourg Alsace",98225000
"Stade Brestois 29",75975000
"Stade de Reims",8.6e+07
"Stade Rennais FC",212375000
